pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,hits,abs,exit_velocity,launch_angle,spin_rate,velocity,effective_speed
265,599998,Leonel Campos,265,100,0.278,0.093,0.405,0.37,15,54,39.9,4.5,1917,90.42,89.81
263,514669,Rafael Martin,263,100,0.231,0.269,0.348,0.5,12,52,11.4,10.3,2369,87.29,85.73
263,517448,Wilfredo Boscan,263,100,0.254,0.186,0.265,0.441,15,59,86.3,12.2,2209,87.24,87.42
260,572309,Kendry Flores,260,100,0.279,0.049,0.327,0.328,17,61,22.8,6,2103,86.6,85.61
260,430617,Scott Dohmann,260,100,0.31,0.172,0.356,0.483,18,58,,,,89.52,
259,502462,Ryan Kelly,259,100,0.313,0.269,0.308,0.582,21,67,18,6.3,2150,89.36,88.37
259,430101,Chad Cordero,259,100,0.314,0.196,0.366,0.51,16,51,,,,84.37,
255,505447,Brandon Dickson,255,100,0.311,0.262,0.341,0.574,19,61,,,,86.57,
255,518865,Josh Judy,255,100,0.321,0.339,0.326,0.661,18,56,,,,87.08,
254,501869,Graham Taylor,254,100,0.34,0.043,0.364,0.383,16,47,,,,81.41,
254,519003,Pat McCoy,254,100,0.344,0.098,0.42,0.443,21,61,,,,87.64,
252,571577,Scott Copeland,252,100,0.369,0.154,0.39,0.523,24,65,24.7,1.5,1844,86.92,87.56
249,643338,Chad Green,249,100,0.258,0.403,0.257,0.661,16,62,91.1,6.1,2039,91.16,91.69
249,518852,Eric Jokisch,249,100,0.29,0.194,0.306,0.484,18,62,,,,85.19,
249,518972,Trystan Magnuson,249,100,0.25,0.2,0.261,0.45,15,60,,,,90.38,
248,543426,Matt Langwell,248,100,0.241,0.185,0.275,0.426,13,54,,,,86.98,
248,449881,R.J. Swindle,248,100,0.389,0.333,0.432,0.722,21,54,,,,74.66,
248,471162,Anthony Ortega,248,100,0.345,0.291,0.341,0.636,19,55,,,,86.57,
247,571476,Chris Beck,247,100,0.393,0.143,0.449,0.536,22,56,30.9,12.2,1675,89.74,90.84
247,573188,Tyler Sturdevant,247,100,0.281,0.094,0.333,0.375,18,64,86.7,11.7,2038,88.58,87.11
246,605218,Carl Edwards Jr.,246,100,0.137,0.078,0.171,0.216,7,51,32.2,8.6,2523,91.24,92.28
245,605477,Chad Smith,245,100,0.357,0.179,0.432,0.536,20,56,17.3,12.1,2211,91.65,90.03
243,150128,Denny Stark,243,100,0.302,0.163,0.314,0.465,13,43,,,,90.01,
241,518582,Casey Crosby,241,100,0.313,0.25,0.351,0.563,15,48,,,,85.05,
238,594987,Casey Sadler,238,100,0.271,0.169,0.313,0.441,16,59,17.1,6.3,1819,90.52,89.31
236,501638,Pedro Viola,236,100,0.292,0.396,0.258,0.688,14,48,,,,88.82,
235,594977,Ken Roberts,235,100,0.379,0.103,0.407,0.483,22,58,22.5,3.1,2144,84.9,83.8
234,150284,Brandon Knight,234,100,0.298,0.021,0.368,0.319,14,47,,,,86.9,
234,461862,Steven Register,234,100,0.314,0.353,0.308,0.667,16,51,,,,86.71,
234,459415,Tommy Hottovy,234,100,0.294,0.235,0.317,0.529,15,51,,,,82.68,
