"","PitchNo","PAofGame","PAofInning","PitchofPA","Pitcher","PitcherThrows","BatterId","BatterSide","PitcherSet","Inning","InningTop","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","HitType","PlayResult","OutsOnPlay","RunsScored","Notes","Release.Speed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","Tilt","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","PitchCount","K","BB","Hit","OutYorN"
"192",219,56,2,6,"Pitcher Y","Right",452678,"Left","Windup",7,0,1,2,2,"Fastball","Fastball","BallCalled","","","",0,0,NA,93.88403077,0.641200798,-2.941302608,2437.525413,206.4935116,"1:00",5.659995467,2.498939592,6.346378692,-14.33924006,16.78292684,8.379871036,5.056034832,0.487653178,85.42739927,-2.080825035,-1.351499455,0.401519306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.434110891,9.023811147,-2.28954685,50,5.699726214,6.754833385,-136.5759809,1.081304626,-10.24097412,30.70959768,-15.16802527,105,0,0,0,0
"193",220,56,2,7,"Pitcher Y","Right",452678,"Left","Windup",7,0,1,3,2,"Fastball","Fastball","StrikeSwinging","Strikeout","","",0,0,NA,92.2714983,-0.350428659,-3.042793828,2340.669871,210.2808873,"1:00",5.604326955,2.540498566,6.432415556,-14.13345211,17.87946076,10.45748918,4.10406594,0.613250842,84.29712966,-3.032449393,-1.058970062,0.407224702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.58497193,9.926679733,-2.329115267,50,5.572945807,6.820115724,-134.2710734,-1.25122332,-12.03693619,28.72277878,-14.02866969,106,1,0,0,1
"194",221,57,3,1,"Pitcher Y","Right",624424,"Left","Windup",7,0,2,0,0,"Curveball","Curveball","BallCalled","","","",0,0,NA,76.28067067,4.757652153,-0.034825816,2817.641,38.46680065,"7:15",5.688041452,2.708463352,5.665786013,-59.45910686,-10.46957408,-8.281379864,5.178883022,1.985880364,69.03473957,-6.408218555,-1.595195239,0.503759405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.431395845,-7.088548269,-2.70037138,50,6.053304687,0.303975415,-110.5496619,7.500786871,5.425657486,21.66406996,-40.85303737,107,0,0,0,0
"195",222,57,3,2,"Pitcher Y","Right",624424,"Left","Windup",7,0,2,1,0,"Fastball","Fastball","InPlay","","FlyBall","Out",1,0,NA,92.48351009,-1.062428788,-4.153002723,2249.004084,232.2002357,"1:45",5.534978118,2.450866451,6.612873058,-19.9524589,11.97077734,15.47145965,2.89666267,-0.069702773,84.04353046,-4.868207879,-1.201373642,0.40665393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.801161519,6.949478256,-2.175160661,50,5.454363452,9.307896011,-134.3790696,-3.078275148,-17.81977424,30.66706525,-19.53900184,108,0,0,0,1
"196",14,4,1,1,"Pitcher Z","Right",543706,"Right","Windup",1,0,0,0,0,"Fastball","Fastball","StrikeCalled","","","",0,0,NA,92.5088416,-2.616619753,-4.490870044,2276.310138,220.1947717,"1:15",5.989370983,2.460356028,5.507234825,-17.23345388,15.99752987,13.54285762,2.09722868,-0.619066675,84.44571034,-5.823947608,-1.968075079,0.414899697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.449211767,9.236105562,-2.077188504,50,5.74898123,10.04203879,-134.050712,-6.764100677,-15.38001359,28.87517905,-15.36166026,1,0,0,0,0
"197",15,4,1,2,"Pitcher Z","Right",543706,"Right","Windup",1,0,0,0,1,"Fastball","Fastball","BallCalled","","","",0,0,NA,92.9195776,-2.954619941,-4.312110241,2265.362286,210.0452536,"1:00",6.069980737,2.285369874,5.510658205,-13.85888234,19.13358347,11.08488061,2.142110097,-0.830478894,84.63922704,-5.536946976,-2.245233745,0.413408028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.119011129,11.02017181,-1.916473453,50,5.802486686,9.751787576,-134.6215102,-7.466963807,-13.04461746,29.63691442,-11.98108594,2,0,0,0,0
"198",16,4,1,3,"Pitcher Z","Right",543706,"Right","Windup",1,0,0,1,1,"Slider","Cutter","InPlay","","Bunt","Out",1,0,NA,87.63654598,-2.427659168,-2.291909026,2486.625437,184.5639345,"12:15",6.074007621,2.620175293,5.404977605,-24.24106534,12.80587699,1.025004303,1.776319241,0.557211766,80.2419573,-6.918494265,-2.100816553,0.438074227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.188282783,7.472778278,-2.416939028,50,5.841059286,5.057913358,-127.2630072,-6.239253718,-1.946564991,26.39457921,-19.93264543,3,0,0,0,1
"199",17,5,2,1,"Pitcher Z","Right",502273,"Left","Windup",1,0,1,0,0,"Fastball","Fastball","BallCalled","","","",0,0,NA,92.23977419,-3.176280045,-3.6185986,2072.939792,232.6421377,"1:45",6.17469869,2.466203939,5.326528786,-22.0156588,11.43284271,15.01754819,1.350914906,0.318012261,84.87796988,-7.236512724,-0.833364791,0.416255372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.868975297,6.863278909,-2.149710739,50,5.871273184,7.902429243,-133.7595653,-8.253577062,-16.16590211,27.20645666,-19.66402442,4,0,0,0,0
"200",18,5,2,2,"Pitcher Z","Right",502273,"Left","Windup",1,0,1,1,0,"ChangeUp","ChangeUp","InPlay","","GroundBall","Out",1,0,NA,87.35903734,-1.406454667,-2.743738988,1695.34537,249.6667291,"2:15",6.066962127,2.569849237,5.328235062,-31.25153901,5.737106809,15.57562875,2.141329919,1.291630581,80.86170055,-7.164617193,0.141798592,0.437729418,79.79748672,-8.391339903,-7.209277278,NA,NA,NA,NA,13.22257201,12.15585613,-12.31257588,0.108479614,-8.892578475,3.373998817,-2.333120012,50,5.917439903,5.536033856,-126.989044,-4.224535235,-14.67267059,23.46283553,-26.60698234,5,0,0,0,1
"201",19,6,3,1,"Pitcher Z","Right",552662,"Right","Windup",1,0,2,0,0,"Fastball","Fastball","InPlay","","LineDrive","Out",1,0,NA,93.32520454,-2.092291733,-4.11513548,2320.623952,216.7558982,"1:15",6.163420071,2.368101204,5.483855473,-13.71908219,19.39502159,14.50931405,3.056893641,-0.279128972,83.7565919,-4.671166026,-1.388811075,0.414169412,90.65329477,18.66874978,24.55643159,4140.38421,95.6714923,30.9701267,54.28573616,263.6986932,196.8474222,37.47077839,3.126546021,-9.081807222,11.03173892,-2.016777152,50,5.970568424,9.205042025,-135.1813274,-5.443835892,-16.53530923,33.88481236,-12.0884852,6,0,0,0,1
"202",28,10,1,1,"Pitcher Z","Right",596129,"Left","Windup",2,0,0,0,0,"Fastball","Fastball","InPlay","","FlyBall","Out",1,0,NA,91.88661102,-2.18021957,-4.037507334,2013.340303,214.6183974,"1:15",6.092657578,2.363635342,5.426210835,-17.03038703,17.10279756,11.82869122,2.625602778,-0.438058983,82.82157977,-5.367770912,-1.82129681,0.420494116,95.21224879,25.86665128,16.79605402,1554.663077,104.4945703,47.29895056,34.3639542,337.3482843,330.8890947,19.80149038,4.018030396,-7.569588126,9.790347412,-2.013482639,50,5.887432336,8.973198181,-133.1208263,-5.689717211,-13.40873387,32.00371765,-14.83147181,7,0,0,0,1
"203",29,11,2,1,"Pitcher Z","Right",592637,"Right","Windup",2,0,1,0,0,"Fastball","Fastball","BallCalled","","","",0,0,NA,92.09960702,-2.862864465,-4.818023654,2394.134373,218.9211524,"1:15",6.204082854,2.188606341,5.480998839,-16.68591727,17.38780913,14.06666518,2.123502616,-1.15732421,82.83519028,-5.990264857,-2.180302235,0.420127717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.055650748,10.19930995,-1.774845462,50,5.941084024,10.73006507,-133.211552,-7.276263655,-16.02968782,32.59336817,-14.11993417,8,0,0,0,0
"204",30,11,2,2,"Pitcher Z","Right",592637,"Right","Windup",2,0,1,1,0,"Slider","Slider","BallCalled","","","",0,0,NA,88.60680044,-2.916895653,-2.527956312,2423.868592,188.2509936,"12:15",5.912926585,2.607127984,5.606499009,-25.27637555,11.22790765,1.633145034,1.079042929,0.382200929,80.06252044,-7.643736997,-2.220100367,0.434853962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.700845966,6.972121558,-2.392085277,50,5.647294132,5.618514595,-128.4963931,-7.398410836,-2.796611475,30.74066067,-20.71015615,9,0,0,0,0
"205",31,11,2,3,"Pitcher Z","Right",592637,"Right","Windup",2,0,1,2,0,"Fastball","Fastball","FoulBall","","","",0,0,NA,92.49048152,-3.085919754,-3.932363307,2347.22274,219.4290086,"1:15",6.173893875,2.234025697,5.444422676,-15.77742265,18.10233672,14.91097504,1.960488031,-0.210613919,82.93765736,-6.046123706,-1.128060936,0.418930208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.258877765,10.68089198,-1.896460806,50,5.890072133,8.669522415,-133.8632735,-7.797072808,-16.48951658,33.8846017,-13.15200832,10,0,0,0,0
"206",32,11,2,4,"Pitcher Z","Right",592637,"Right","Windup",2,0,1,2,1,"Fastball","Fastball","FoulBall","","","",0,0,NA,93.80123564,-2.893904889,-4.156167855,2371.64831,218.2125209,"1:15",6.189640162,2.131190564,5.486736326,-15.01087882,17.64725884,13.91744306,2.222184754,-0.603739303,84.70937023,-5.703082387,-1.548441214,0.411308066,64.98267175,-19.17751956,-162.5289428,NA,NA,NA,NA,4.047209138,0.515205042,-161.0775626,0.070446167,-8.70395124,10.302741,-1.776103875,50,5.92552509,9.36682328,-135.8359313,-7.428229771,-16.0887985,32.72015025,-13.12997083,11,0,0,0,0
"207",33,11,2,5,"Pitcher Z","Right",592637,"Right","Windup",2,0,1,2,2,"Curveball","Curveball","StrikeSwinging","Strikeout","","",0,0,NA,81.9818173,-0.592616442,-2.626342165,2781.001379,53.32732068,"7:45",6.303679303,2.305441896,5.135120702,-47.77904578,-4.871356387,-6.487755881,1.763486223,-0.709864598,75.3253293,-9.38579495,-3.83077681,0.471453737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63636769,-2.386198307,-2.054422786,50,6.212049022,5.678115129,-119.0266808,-2.840170837,3.760235719,24.08010714,-35.57746916,12,1,0,0,1
"208",34,12,3,1,"Pitcher Z","Right",542963,"Left","Windup",2,0,2,0,0,"ChangeUp","ChangeUp","BallCalled","","","",0,0,NA,87.17847316,-3.361574275,-3.917102829,1975.262803,235.874447,"1:45",5.949052658,2.620120203,5.483251471,-26.89391897,10.68608979,15.82027354,0.552121436,0.268268104,79.69078714,-8.346682767,-0.961831359,0.441214683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.5454952,6.655995998,-2.287161881,50,5.63562807,8.111780524,-126.2928134,-8.346518724,-15.36304627,26.55863763,-21.46152162,13,0,0,0,0
"209",35,12,3,2,"Pitcher Z","Right",542963,"Left","Windup",2,0,2,1,0,"ChangeUp","ChangeUp","BallCalled","","","",0,0,NA,87.72002552,-3.7298759,-4.042165469,2006.767866,224.5809105,"1:30",6.057099651,2.748084127,5.395444714,-22.00485057,15.24124662,15.05440889,0.714636652,0.208641349,80.11833633,-7.804157928,-1.23677768,0.439250136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.133355295,9.145754538,-2.397734918,50,5.70822517,8.454078931,-127.0003684,-9.060814004,-14.88225585,26.57424965,-17.27158888,14,0,0,0,0
"210",36,12,3,3,"Pitcher Z","Right",542963,"Left","Windup",2,0,2,2,0,"Fastball","Fastball","InPlay","","GroundBall","Out",1,0,NA,93.2847421,-3.21459178,-3.711115745,2230.812374,221.763876,"1:30",6.14798396,2.475461826,5.353661729,-15.80540222,16.99000883,15.19909146,1.80680588,0.256998746,85.32006824,-6.143876059,-0.885621648,0.412171594,92.02526746,-15.55129452,43.00525149,NA,NA,NA,NA,7.364586433,4.711221029,33.62146538,0.049126587,-9.047089412,9.86039317,-2.152331168,50,5.847155747,8.205350554,-135.2201342,-8.198319904,-16.78588892,28.9040015,-13.8791631,15,0,0,0,1
"211",50,16,1,1,"Pitcher Z","Right",642066,"Right","Windup",3,0,0,0,0,"Slider","Slider","StrikeCalled","","","",0,0,NA,86.78573563,-1.508724033,-2.856625773,2427.57466,195.6505753,"12:30",6.063984508,2.616952685,5.55156064,-26.58024869,10.37714625,2.916962713,2.437256184,0.188823358,80.76025745,-6.411197191,-2.31644151,0.437544465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.206008723,5.853764954,-2.371935507,50,5.915806124,6.199890488,-126.237623,-4.233190306,-3.619647714,21.64825433,-22.56911512,16,0,0,0,0
