Rk,Player,From,To,Tm,Lg,POS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,WS
46,Jared Sullinger,2013,2015,BOS,NBA,PF,177,98,4499,6.4,14.7,5.6,11.5,0.9,3.2,2.4,3.2,3.8,6.6,10.5,2.3,0.8,0.9,1.8,4.5,16.2,0.44,0.486,0.275,0.47,0.762,0.504,10.6
227,Jarvis Varnado,2013,2014,TOT,NBA,PF,37,0,397,3.5,6.1,3.5,6.1,0,0,2.6,5.1,1.9,4.6,6.5,1.5,1,2.8,1.5,6.5,9.7,0.582,0.582,,0.582,0.518,0.584,0.7
205,Jeff Adrien,2011,2013,TOT,NBA,PF,83,5,972,3.8,8.8,3.8,8.7,0,0.1,3.1,4.9,3.6,6.7,10.2,1.7,0.8,1.3,1.6,4.5,10.6,0.429,0.432,0,0.429,0.634,0.485,1.3
161,Jeff Ayres,2010,2013,TOT,NBA,#N/A,96,5,880,4.9,9.3,4.8,9.1,0.1,0.2,1.8,2,2.7,6.9,9.6,0.8,0.7,1.2,1.5,5.6,11.6,0.524,0.525,0.5,0.529,0.86,0.568,2.6
314,Jeff Foote,2012,2012,NOH,NBA,#N/A,4,0,39,1.8,5.5,1.8,5.5,0,0,0,0,0.9,4.6,5.5,0,0,0.9,1.8,4.6,3.7,0.333,0.333,,0.333,,0.333,-0.1
68,Jeff Teague,2010,2012,ATL,NBA,PG,207,76,3865,5.1,11.2,4.3,9.1,0.7,2.1,2.4,3.1,0.3,2.7,3.1,5.4,1.7,0.7,2.3,2.9,13.2,0.451,0.479,0.332,0.483,0.779,0.526,8.3
117,Jeff Withey,2014,2016,TOT,NBA,C,146,14,1601,4.2,8,4.2,7.9,0,0.1,2.9,4.1,2.9,5.8,8.7,1.3,0.9,2.7,1.3,3.9,11.4,0.53,0.534,0,0.53,0.709,0.58,5
207,Jeffery Taylor,2013,2015,TOT,NBA,#N/A,132,50,2566,4.2,10.3,3,6.7,1.2,3.6,1.8,2.7,1.1,2.6,3.7,1.5,1,0.3,1.3,3.3,11.3,0.409,0.458,0.319,0.465,0.665,0.495,1.3
148,Jeremy Evans,2011,2013,UTA,NBA,#N/A,115,3,895,5.2,8.1,5.2,8,0,0.1,2.2,3.5,3.3,5,8.2,1.9,1.2,2.2,1.3,4.1,12.7,0.647,0.657,0,0.647,0.64,0.659,3.4
115,Jeremy Lamb,2013,2015,OKC,NBA,SG,148,8,2318,6.1,14.4,4,8.4,2.1,6,1.8,2.1,0.6,4.3,4.9,2.5,1.2,0.5,1.5,3.2,16,0.422,0.475,0.348,0.495,0.857,0.523,5.1
64,Jeremy Lin,2011,2013,TOT,NBA,#N/A,146,107,3865,5.5,12.6,4.5,9.5,1,3.1,3.5,4.5,0.6,3,3.6,7,2.1,0.4,3.5,2.9,15.7,0.44,0.476,0.332,0.482,0.789,0.538,8.7
356,Jeremy Pargo,2012,2013,TOT,NBA,#N/A,83,16,1079,5,13.3,3.8,9.6,1.2,3.7,1.9,3,0.7,2.2,2.9,4.9,0.9,0.1,3.2,3.1,13,0.373,0.396,0.313,0.416,0.652,0.445,-0.8
249,Jeremy Tyler,2012,2014,TOT,NBA,C,104,23,1034,5.5,12.2,5.5,12.1,0,0,2.1,3.7,3.4,6,9.4,0.9,0.8,1.5,2.4,5.7,13,0.45,0.451,0,0.45,0.557,0.471,0.3
259,Jermaine Taylor,2010,2011,TOT,NBA,SG,65,12,786,6.4,14.4,5.5,11.4,0.9,3.1,2.5,3.4,2.2,2.8,4.9,2.2,1.1,0.4,3,2.5,16.1,0.441,0.484,0.284,0.471,0.73,0.505,0.2
265,Jerome Dyson,2012,2012,NOH,NBA,#N/A,9,1,180,3.8,9.6,3.6,8,0.2,1.6,5.6,7.2,0.4,3.4,3.8,3.6,2.2,0.4,4,3.8,13.4,0.396,0.45,0.125,0.406,0.778,0.525,0.1
191,Jerome Jordan,2012,2015,TOT,NBA,C,65,0,491,4.9,9.3,4.9,9.3,0,0,3.4,4,4.8,4.8,9.7,1.2,0.7,1.5,1.8,5.4,13.2,0.528,0.528,,0.528,0.852,0.597,1.7
301,Jerry Smith,2012,2012,NJN,NBA,#N/A,5,0,46,2.3,11,1.6,6.3,0.8,4.7,0,0,1.6,3.9,5.5,3.1,3.9,0,0,3.9,5.5,0.214,0.25,0.167,0.25,,0.25,0
173,Jimmer Fredette,2012,2014,TOT,NBA,#N/A,179,7,2621,6.2,14.9,3.7,8.6,2.5,6.3,2,2.3,0.6,2.1,2.7,3.6,1,0.1,2.5,2.4,16.9,0.417,0.428,0.401,0.501,0.857,0.532,2.2
19,Jimmy Butler,2012,2014,CHI,NBA,SG,191,87,5084,3.9,9.1,3.1,6.6,0.8,2.5,3.5,4.4,1.7,3.3,5.1,2.2,1.5,0.5,1.3,1.6,12,0.425,0.47,0.309,0.468,0.781,0.542,15.2
49,Jodie Meeks,2010,2012,TOT,NBA,SG,200,114,4425,4.4,10.6,2.1,4.5,2.3,6.1,2.1,2.4,0.4,3.1,3.5,1.4,1,0.1,0.9,1.9,13.1,0.411,0.465,0.371,0.518,0.884,0.562,10.2
150,Joel Freeland,2013,2015,POR,NBA,#N/A,151,9,1821,4.1,9,4.1,9,0,0,1.2,1.6,3.8,6.5,10.2,1.3,0.6,1.1,1.5,5,9.4,0.459,0.461,0,0.459,0.728,0.486,3.2
